Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
4,11,18,19,29,45,48,63,77,79
5,17,39,50,58,67,71,75,78,80
11,13,19,21,24,26,28,58,60,61
5,18,24,27,29,32,34,61,71,75
25,31,36,37,45,59,62,64,71,74
11,20,41,44,47,54,55,61,69,76
8,11,19,30,32,33,53,59,65,69
1,4,5,16,24,29,32,52,59,74
2,12,23,25,26,37,51,57,61,77
7,8,13,16,41,51,54,62,69,71
