Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
3,10,29,38,43,49,72,74,76,79
1,5,13,21,32,36,39,47,49,66
3,7,14,16,18,31,47,49,57,76
4,10,12,17,31,47,49,61,68,77
9,13,19,42,50,59,65,66,78,79
9,13,15,16,37,41,53,60,65,78
7,15,17,19,25,34,42,44,46,67
5,10,12,19,30,33,43,54,67,72
11,12,13,17,33,53,66,69,70,80
4,11,14,16,19,57,59,61,75,76
